%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1627477790627188781,2488,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790660371835,2489,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790693629116,2490,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790727153745,2491,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790760660175,2492,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790793697631,2493,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790827277164,2494,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790862040239,2495,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790893813649,2496,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790929138697,2497,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790960551140,2498,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790993952804,2499,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791027259929,2500,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791060635565,2501,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791094346140,2502,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791127185227,2503,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791160810330,2504,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791194106969,2505,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791229362465,2506,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791261139342,2507,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791293800123,2508,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791327102331,2509,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791361366751,2510,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791395178309,2511,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791427361038,2512,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791460792580,2513,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791494452312,2514,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791527177126,2515,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791562043781,2516,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791595354181,2517,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791627142112,2518,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791661183759,2519,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791697012746,2520,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791727327592,2521,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791760629578,2522,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791794030881,2523,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791827112620,2524,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791860348544,2525,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791893729564,2526,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791927342616,2527,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791960816896,2528,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477791993791319,2529,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792027236520,2530,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792060985341,2531,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792093997319,2532,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792127220700,2533,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792160944617,2534,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792194274067,2535,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792227813917,2536,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792260570416,2537,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792293705603,2538,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792327432297,2539,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792360735402,2540,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792393968834,2541,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792427348166,2542,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792460496822,2543,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477792494010549,2544,0,,1.0,0.0,0.0,0.0,0.0,0.0
